predictors,k,WAIC,CPO,DIC,Mlik,row
poverty_index+urban_pct+wood_bin,3,779.572477819055,390.57744874180594,756.7118469288182,-395.9121175260174,log marginal-likelihood (integration)52
poverty_index+wood_pct+wood_bin,3,749.4575236287969,375.32328860977697,735.7400832253563,-385.46971398968685,log marginal-likelihood (integration)53
may_bin+len_bin+urban_pct,3,729.714589756873,366.21746195739377,697.585076297783,-365.6220568469532,log marginal-likelihood (integration)54
may_bin+len_bin+wood_pct,3,723.5989788616483,365.1142206529569,693.1978191848342,-363.8229594504827,log marginal-likelihood (integration)55
may_bin+len_bin+wood_bin,3,728.0294073233704,365.4023335572186,697.4514333239398,-364.61069320047494,log marginal-likelihood (integration)56
may_bin+urban_pct+wood_pct,3,776.0240453041293,390.5725521524071,745.8470808267679,-390.82507695938773,log marginal-likelihood (integration)57
may_bin+urban_pct+wood_bin,3,788.3730802163506,396.367677628192,756.4730652239914,-394.9535667577049,log marginal-likelihood (integration)58
may_bin+wood_pct+wood_bin,3,758.1294524826139,381.61745423253814,734.3360170017638,-383.9510749895801,log marginal-likelihood (integration)59
len_bin+urban_pct+wood_pct,3,711.2291935683104,357.2133361146644,687.5993370236977,-361.7284347109842,log marginal-likelihood (integration)60
len_bin+urban_pct+wood_bin,3,725.1533035721418,363.427982664046,697.9531361495715,-365.768905038684,log marginal-likelihood (integration)61
len_bin+wood_pct+wood_bin,3,708.5993911530788,356.3624277978327,688.421262482144,-361.0902768716331,log marginal-likelihood (integration)62
urban_pct+wood_pct+wood_bin,3,750.4647576738516,375.6711481332163,736.549117114282,-385.7519171102097,log marginal-likelihood (integration)63
dist_km+poverty_index+may_bin+len_bin,4,459.99862188120386,230.87228029729198,451.7349552593305,-248.03302628463615,log marginal-likelihood (integration)64
dist_km+poverty_index+may_bin+urban_pct,4,477.54417667620237,240.31225503161895,468.6232842877344,-257.5006282556077,log marginal-likelihood (integration)65
dist_km+poverty_index+may_bin+wood_pct,4,478.05556812018176,245.27780306928065,469.05237065882193,-257.9557060862123,log marginal-likelihood (integration)66
dist_km+poverty_index+may_bin+wood_bin,4,477.58138224646683,240.13961823765996,468.51299475294303,-256.3349707193988,log marginal-likelihood (integration)67
dist_km+poverty_index+len_bin+urban_pct,4,467.14602383036686,234.4343887373671,459.0749589142974,-252.7875014006539,log marginal-likelihood (integration)68
dist_km+poverty_index+len_bin+wood_pct,4,471.5081702421425,242.0347993923766,462.82714106613264,-254.8766081163609,log marginal-likelihood (integration)69
dist_km+poverty_index+len_bin+wood_bin,4,473.33312745234656,238.49104427672208,463.73349911292837,-253.97687919726715,log marginal-likelihood (integration)70
dist_km+poverty_index+urban_pct+wood_pct,4,499.5964774964918,257.79651343017645,488.7346283834767,-268.52684601795596,log marginal-likelihood (integration)71
dist_km+poverty_index+urban_pct+wood_bin,4,499.6332365041487,251.5799158100679,488.8500156948085,-267.4205158342259,log marginal-likelihood (integration)72
dist_km+poverty_index+wood_pct+wood_bin,4,502.42238831283373,260.49140178570985,490.3458265924844,-268.1649750750475,log marginal-likelihood (integration)73
dist_km+may_bin+len_bin+urban_pct,4,474.2231230125296,238.61425704445264,464.6861607510419,-254.85554549277,log marginal-likelihood (integration)74
