department,mun,adult,male,female,dist_km,urban_pct,poverty_index,mayachorti,lenca,may_pct,len_pct,may_log,len_log,wood_pct,water_piped,water_well,water_river,avg_elev,avg_tri,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12
13,1327,1318,618,700,147.131,0,1.2725321888412018,0,620,0,47.040971168437025,0,3.8720542128366926,99.14346895074947,59.227467811158796,11.802575107296137,18.025751072961373,251.0810891384279,6.914156439431581,0,0,0,0,0,0,0,0,0,0,0,0,3.339852445820691,2.2792578687553755,1.1149385889593584,1.357982871319212,0.8835719720634542,0.5023712305753895,1.4883850969572483,1.0524106244405844,0.45954008254412154,0.49348447754423086,0.34327527225133664,0.15302727583984743
13,1328,1791,953,838,81.017,0,1.3906976744186046,0,895,0,49.97208263539922,0,3.93127808354073,99.2867332382311,67.44186046511628,11.317829457364342,14.728682170542637,1337.0464209442453,7.069587321714591,4,4,0,2,2,0,1,1,0,1,1,0,3.5028214044943575,2.37915421153616,1.120191073606536,1.4746484195299172,0.9687399378071812,0.5046769293487265,1.5078130195075368,1.054497335777876,0.45166574401436405,0.5203599654569036,0.35591693795110285,0.16384840024344527
13,1320,4763,2425,2338,82.117,0,1.4686285397001666,8,2274,0.1679613688851564,47.74301910560571,0.15525980927443286,3.8865619893563386,97.69930444087748,71.01610216546364,6.107717934480844,17.323709050527487,1071.9983058064633,8.272013191153954,3,3,0,2,2,0,1,1,0,0,0,0,10.165710261471965,6.8119785479131245,3.3408443756934205,4.175079885454054,2.672880769613536,1.4982784951487935,4.477184052104483,3.112491363612985,1.357984650159198,1.5134463239134275,1.0266064146866034,0.48458123038542883
13,1321,3422,1812,1610,109.15,0,1.4752475247524752,2,1610,0.058445353594389245,47.04850964348334,0.05680118399121984,3.872211118150325,99.214846538187,75.17136329017518,12.338156892612338,6.473724295506473,1461.9594819465594,10.998164777843712,3,3,0,0,0,0,2,2,0,1,1,0,6.357406502824397,4.220964730037632,2.131703459518053,2.7225522311821675,1.743413721274853,0.9775007976434137,2.699440758617945,1.8477400734010645,0.8494812103200047,0.9354135130242844,0.6298109353617137,0.30472145155463465
13,1322,2255,1171,1084,114.417,0,1.9801980198019802,0,1120,0,49.667405764966745,0,3.9252828195382197,99.45887445887446,47.194719471947195,0.33003300330033003,50.495049504950494,1442.7085290467035,7.36685076906228,2,2,0,0,0,0,1,1,0,1,1,0,4.582197140677433,3.0407236290840114,1.5374656477934545,1.950907808006748,1.2300649903527088,0.7195284044695831,1.965227702562656,1.3545903463452122,0.608682172116616,0.6660616301080294,0.45606829238609,0.2092550712072554
13,1323,3717,1876,1841,22.212,0,1.6662242866622428,1,1108,0.026903416733925208,29.808985741189133,0.026547882447977657,3.4278063922740802,97.70261646458201,46.18447246184472,4.180491041804911,45.38818845388188,911.387518867087,8.240769000266358,22,9,13,10,6,4,7,2,5,5,1,4,7.824795734366699,5.139772112406515,2.6782132428139525,3.2829522263311657,2.085836320195828,1.1948268747207518,3.3907220341220947,2.288353525529161,1.0991089110449703,1.1511214739134386,0.7655822666815257,0.38427745704823046
13,1324,1070,531,539,106.528,0,1.2885906040268456,0,517,0,48.3177570093458,0,3.8982841989437618,98.89624724061811,66.2192393736018,2.9082774049217,7.829977628635347,952.6930459408434,9.068808999370674,0,0,0,0,0,0,0,0,0,0,0,0,2.5422878252271897,1.68167648717689,0.8549790384689784,1.0447359313606617,0.6681595909366339,0.3782829407796658,1.1200054557489274,0.7616554905755402,0.3533803954958079,0.3775464381176003,0.2518614056647157,0.12331570219350464
13,1325,2277,1159,1118,121.944,0,1.2666666666666666,0,1125,0,49.40711462450593,0,3.9201323282993794,97.35327963176064,79.52380952380952,1.1904761904761905,9.523809523809524,918.4136344302232,9.460270774525346,3,1,2,2,1,1,0,0,0,1,0,1,5.127163208304753,3.387547773898249,1.7351745531959533,2.105483112331106,1.3523640944503812,0.7516889003677244,2.258995801077254,1.529286952951327,0.7275087411294222,0.7626842948963938,0.5058967264965408,0.2559769116988066
13,1326,1629,803,826,120.726,0,1.0757097791798107,0,300,0,18.41620626151013,0,2.9661080916430143,98.92966360856269,70.97791798107255,11.35646687697161,11.35646687697161,743.2080528223718,9.044502671719787,2,1,1,1,0,1,1,1,0,0,0,0,3.9225395923878432,2.5481994898580878,1.369775452972435,1.5930216211056731,0.989014082280805,0.6026319858174541,1.743458903123081,1.1712172699365957,0.5698786098476858,0.5860590681590889,0.3879681376406868,0.19726485730729507
13,1316,4544,2363,2181,137.961,0,2.120611551528879,1,2109,0.02200704225352113,46.412852112676056,0.021768382416794945,3.858893333566424,99.55182072829132,42.86523216308041,3.454133635334088,38.56172140430351,1098.0686329399293,8.737388865249816,2,2,0,2,2,0,0,0,0,0,0,0,9.286745332467826,6.465365745009024,2.8092786551575903,3.8475062380488247,2.5665951865949967,1.2768971139549716,4.055815294244695,2.9272212199091916,1.1225314165177753,1.3834238001743049,0.9715493385048346,0.40985012468484355
13,1317,3472,1696,1776,149.229,0,1.6095736724008975,0,1696,0,48.8479262672811,0,3.90897689608983,99.3338267949667,52.72999252056844,14.06133133881825,25.205684367988034,696.4982079573394,8.625129797482431,2,2,0,1,1,0,1,1,0,0,0,0,8.177873252317868,5.178882470438593,2.992046670822966,3.3446201822891175,2.036618310047294,1.3059426031733647,3.624692039821474,2.3615141484644586,1.259659460241758,1.2085610302072758,0.78075001192684,0.4264446074078433
13,1318,1271,653,618,111.598,0,1.1154598825831703,0,590,0,46.42014162077104,0,3.8590470671526447,97.97421731123389,84.54011741682974,0.3913894324853229,11.545988258317024,672.3839324011324,9.34130779788968,1,0,1,1,0,1,0,0,0,0,0,0,3.1213965669515376,2.092491757659591,1.025298949069645,1.271450210916224,0.81529788704462,0.45505604120600773,1.3975690464775785,0.96423651629967,0.43150707706071073,0.4523773095577351,0.312957354315301,0.13873583080292642
